1	0               0               0 		2.791581E+02	2.791581E+02	3.388778E+02
2	9.169339E+00	9.169339E+00	1.555784E+01	2.793973E+02	2.793973E+02	3.387788E+02
3	1.937385E+01	1.937385E+01	3.137477E+01	2.800885E+02	2.800885E+02	3.385751E+02
4	2.957983E+01	2.957983E+01	4.681313E+01	2.811775E+02	2.811775E+02	3.384459E+02
5	3.941455E+01	3.941455E+01	6.191117E+01	2.826174E+02	2.826174E+02	3.384582E+02
6	4.837565E+01	4.837565E+01	7.668866E+01	2.843755E+02	2.843755E+02	3.384714E+02
7	5.615139E+01	5.615139E+01	9.113868E+01	2.864276E+02	2.864276E+02	3.382378E+02
8	6.269347E+01	6.269347E+01	1.051999E+02	2.887463E+02	2.887463E+02	3.375971E+02
9	6.816303E+01	6.816303E+01	1.187677E+02	2.912784E+02	2.912784E+02	3.365852E+02
10	7.278675E+01	7.278675E+01	1.317322E+02	2.939329E+02	2.939329E+02	3.353770E+02
11	7.671591E+01	7.671591E+01	1.440070E+02	2.966017E+02	2.966017E+02	3.341411E+02
12	7.999900E+01	7.999900E+01	1.555302E+02	2.991941E+02	2.991941E+02	3.329403E+02
13	8.265305E+01	8.265305E+01	1.662446E+02	3.016530E+02	3.016530E+02	3.317383E+02
14	8.472870E+01	8.472870E+01	1.760784E+02	3.039449E+02	3.039449E+02	3.304743E+02
15	8.631243E+01	8.631243E+01	1.849416E+02	3.060382E+02	3.060382E+02	3.291265E+02
16	8.749387E+01	8.749387E+01	1.927314E+02	3.078931E+02	3.078931E+02	3.277311E+02
17	8.834629E+01	8.834629E+01	1.993367E+02	3.094669E+02	3.094669E+02	3.263699E+02
18	8.893096E+01	8.893096E+01	2.046411E+02	3.107240E+02	3.107240E+02	3.251506E+02
19	8.930350E+01	8.930350E+01	2.085302E+02	3.116400E+02	3.116400E+02	3.241846E+02
20	8.950902E+01	8.950902E+01	2.109066E+02	3.121977E+02	3.121977E+02	3.235654E+02
21	8.957469E+01	8.957469E+01	2.117062E+02	3.123851E+02	3.123851E+02	3.233524E+02
22	8.957410E+01	9.153578E+01	2.108759E+02	3.116952E+02	3.121325E+02	3.246113E+02
23	8.954299E+01	9.670291E+01	2.085271E+02	3.102905E+02	3.113881E+02	3.275419E+02
24	8.941429E+01	1.033659E+02	2.050566E+02	3.089332E+02	3.101840E+02	3.309429E+02
25	8.911059E+01	1.097166E+02	2.009851E+02	3.079047E+02	3.085625E+02	3.340556E+02
26	8.853739E+01	1.145457E+02	1.967130E+02	3.065831E+02	3.072693E+02	3.364606E+02
27	8.757164E+01	1.173688E+02	1.923641E+02	3.043239E+02	3.070144E+02	3.379628E+02
28	8.608350E+01	1.180429E+02	1.878825E+02	3.018623E+02	3.070711E+02	3.385192E+02
29	8.396077E+01	1.165228E+02	1.831219E+02	2.992625E+02	3.072518E+02	3.382465E+02
30	8.109786E+01	1.130529E+02	1.777391E+02	2.965938E+02	3.072097E+02	3.374373E+02
31	7.739007E+01	1.081752E+02	1.712134E+02	2.939463E+02	3.065385E+02	3.364816E+02
32	7.278522E+01	1.022815E+02	1.631065E+02	2.914039E+02	3.049161E+02	3.357575E+02
33	6.733416E+01	9.533224E+01	1.531993E+02	2.890075E+02	3.021713E+02	3.355608E+02
34	6.113167E+01	8.713651E+01	1.413504E+02	2.867802E+02	2.984131E+02	3.359504E+02
35	5.418150E+01	7.773241E+01	1.273372E+02	2.847857E+02	2.941314E+02	3.366551E+02
36	4.637244E+01	6.734916E+01	1.109325E+02	2.831184E+02	2.899682E+02	3.373068E+02
37	3.765158E+01	5.606253E+01	9.210685E+01	2.818102E+02	2.863502E+02	3.377605E+02
38	2.821786E+01	4.365843E+01	7.108809E+01	2.807871E+02	2.833790E+02	3.381343E+02
39	1.848890E+01	2.995012E+01	4.830091E+01	2.799655E+02	2.810893E+02	3.385128E+02
40	8.740134E+00	1.505062E+01	2.428563E+01	2.793786E+02	2.796432E+02	3.387879E+02
41	0               0               0 		2.791581E+02	2.791581E+02	3.388778E+02
42	5.952803E+00	5.952803E+00	1.596940E+01	2.792735E+02	2.792735E+02	3.388619E+02
43	1.316483E+01	1.316483E+01	3.200154E+01	2.795969E+02	2.795969E+02	3.388192E+02
44	2.025635E+01	2.025635E+01	4.734357E+01	2.800790E+02	2.800790E+02	3.387589E+02
45	2.720594E+01	2.720594E+01	6.202394E+01	2.806804E+02	2.806804E+02	3.386768E+02
46	3.373896E+01	3.373896E+01	7.619577E+01	2.813935E+02	2.813935E+02	3.385406E+02
47	3.959293E+01	3.959293E+01	9.004168E+01	2.822365E+02	2.822365E+02	3.383008E+02
48	4.462457E+01	4.462457E+01	1.036069E+02	2.832264E+02	2.832264E+02	3.379282E+02
49	4.885897E+01	4.885897E+01	1.167360E+02	2.843485E+02	2.843485E+02	3.374453E+02
50	5.246696E+01	5.246696E+01	1.291518E+02	2.855462E+02	2.855462E+02	3.369217E+02
51	5.566248E+01	5.566248E+01	1.405912E+02	2.867402E+02	2.867402E+02	3.364367E+02
52	5.857949E+01	5.857949E+01	1.509024E+02	2.878650E+02	2.878650E+02	3.360416E+02
53	6.121950E+01	6.121950E+01	1.600627E+02	2.888928E+02	2.888928E+02	3.357425E+02
54	6.349955E+01	6.349955E+01	1.681292E+02	2.898296E+02	2.898296E+02	3.355134E+02
55	6.534654E+01	6.534654E+01	1.751642E+02	2.906902E+02	2.906902E+02	3.353232E+02
56	6.676298E+01	6.676298E+01	1.811843E+02	2.914733E+02	2.914733E+02	3.351578E+02
57	6.782559E+01	6.782559E+01	1.861592E+02	2.921555E+02	2.921555E+02	3.350211E+02
58	6.862996E+01	6.862996E+01	1.900441E+02	2.927043E+02	2.927043E+02	3.349226E+02
59	6.922970E+01	6.922970E+01	1.928124E+02	2.930967E+02	2.930967E+02	3.348638E+02
60	6.961685E+01	6.961685E+01	1.944639E+02	2.933276E+02	2.933276E+02	3.348361E+02
61	6.975274E+01	6.975274E+01	1.950119E+02	2.934031E+02	2.934031E+02	3.348285E+02
